Rank,Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Count,Avg Human Percentile,Avg Human Percentile (Competition)
1,gpt-5,11,69,4271.0,4218.0,61.132173913043474,68.01420289855072,45.25072463768116,5,2,4,11,8,83.9240257308888,79.30297275415779
2,grok-4-fast-reasoning,11,69,3298.0,3298.0,47.796086956521734,63.22014492753624,29.606666666666666,3,1,5,9,8,68.14672603138115,67.6192037207019
2,gpt-oss-120b-high,11,69,3590.0,3537.0,51.26159420289855,57.56333333333333,38.528260869565216,4,2,2,8,8,66.5487110954594,63.3646607513008
3,gemini-2.5-pro,11,69,3151.0,3115.0,45.14550724637681,57.57231884057972,25.72550724637681,2,3,3,8,8,65.97188536687707,65.23290750574876
5,gpt-oss-120b_sp4,11,69,2362.0,2309.0,33.46376811594203,40.77028985507247,21.920579710144928,0,2,5,7,8,48.80608646172666,43.44820116311436
6,gpt-oss-120b_sp2,11,69,2469.0,2416.0,35.014782608695654,43.858695652173914,24.67985507246377,1,2,3,6,8,46.77677242310018,43.12143402120463
7,gpt-oss-120b_sp1,11,69,2401.0,2348.0,34.028985507246375,43.48231884057971,21.77942028985507,0,3,3,6,8,49.20063126401949,46.397599291184775
7,gpt-oss-20b-medium,11,69,2224.0,2171.0,31.46333333333333,38.90260869565218,22.021884057971015,0,2,4,6,8,43.65942795413418,37.94265413018167
9,claude-sonnet-4.5,11,69,2069.0,2069.0,29.986231884057975,53.946521739130446,10.144637681159422,0,1,5,6,8,48.73770805433933,49.8007794681362
4,gpt-oss-120b-medium,11,69,2584.0,2531.0,36.68043478260869,44.833333333333336,27.29550724637681,1,2,3,6,8,50.204173256843085,43.74744058094909
5,gpt-o3-mini-high,11,69,2624.0,2571.0,37.2595652173913,48.538260869565214,24.839275362318844,0,3,3,6,8,55.17487748471489,50.75663215269452
6,gpt-oss-20b-high,11,69,2470.0,2417.0,35.02768115942029,50.30797101449275,29.349420289855072,0,3,3,6,8,52.8480430607354,44.470171403447935
13,gpt-oss-120b_sp3,11,69,2403.0,2350.0,34.05782608695652,42.690289855072464,24.79898550724638,1,2,1,4,8,46.46658635379171,44.00450650413207
9,gemini-2.5-flash,11,69,2351.0,2315.0,33.55159420289855,48.829855072463765,16.424202898550725,1,2,1,4,8,48.306574872322464,43.78772619226803
8,seed-oss_-1,11,69,2112.0,2076.0,30.08782608695652,41.85449275362319,18.015797101449273,0,3,2,5,8,42.847287881781966,38.71223203127907
10,seed-oss_16384,11,69,1873.0,1820.0,26.377681159420288,36.99753623188406,16.062608695652177,1,0,2,3,8,34.05662650363741,41.863320934601575
11,gpt-oss-120b-low,11,69,1741.0,1688.0,24.463478260869564,32.58434782608696,17.935652173913045,0,1,2,3,8,29.658126956783107,25.759079758442212
12,Qwen3-32B,11,69,1564.0,1511.0,21.89927536231884,32.45057971014493,8.372753623188405,0,1,2,3,8,30.660675297222237,31.170334245846824
14,deepseek-reasoner,11,69,1592.0,1539.0,22.305652173913042,35.71449275362319,9.82231884057971,0,0,3,3,8,30.009187607424057,27.047717137411617
18,Qwen3-14B,11,69,1214.0,1161.0,16.8263768115942,24.01463768115942,9.821884057971014,0,0,3,3,8,21.2534243568821,23.824300883877065
13,seed-oss_8192,11,69,1628.0,1592.0,23.073043478260868,34.25217391304347,11.110434782608696,0,0,3,3,8,31.73880770494444,36.65563825273493
16,Qwen3-30B,11,69,1242.0,1189.0,17.231594202898552,29.291594202898548,8.372753623188405,0,0,3,3,8,23.23812855976922,28.67966524315857
15,gpt-oss-20b-low,11,69,1263.0,1210.0,17.536521739130436,25.796376811594207,9.821884057971014,0,0,3,3,8,23.649011162934993,21.570622715481786
19,Qwen3-8B,11,69,1208.0,1155.0,16.737826086956524,26.78028985507246,8.251594202898549,0,0,3,3,8,21.94596244749293,17.256523717491206
21,deepseek-chat,11,69,982.0,946.0,13.709855072463768,27.57608695652174,2.7372463768115938,0,0,3,3,8,22.38496385391426,20.8647673767583
22,seed-oss_4096,11,69,926.0,894.0,12.955072463768117,19.397826086956524,8.57391304347826,0,0,3,3,8,20.818018727911397,27.778652205469207
23,Qwen3-4B,11,69,899.0,846.0,12.261159420289856,22.415072463768116,5.635507246376811,0,0,3,3,8,18.0514240562468,14.606677472843508
25,gpt-4.1,11,69,1068.0,1032.0,14.955942028985508,29.314057971014496,2.7372463768115938,0,0,2,2,8,23.587132514427847,24.90181975377011
29,OpenCodeReasoning-Nemotron-32B-IOI,10,66,1062.0,1009.0,15.286969696969697,25.999848484848485,7.238333333333332,0,0,2,2,7,18.929957963588155,14.769886224174872
20,DeepSeek-R1-Distill-Llama-70B,11,69,997.0,944.0,13.680289855072465,23.522898550724637,5.635507246376811,0,0,3,3,8,20.615367826061103,18.49117380016607
17,QwQ-32B,11,69,1229.0,1176.0,17.042753623188407,27.186521739130438,9.821884057971014,0,0,3,3,8,25.093461559576212,21.550637421798974
32,OlympicCoder-7B,11,69,765.0,712.0,10.318550724637682,17.790289855072462,4.186376811594203,0,0,2,2,8,16.791295330126186,14.88665193204689
24,DeepSeek-R1-Distill-Qwen-32B,11,69,873.0,837.0,12.131159420289855,20.626521739130432,5.635507246376811,0,0,3,3,8,18.40687655604792,15.592969073427914
27,Qwen2.5-Coder-14B-Instruct,11,69,672.0,636.0,9.217536231884058,16.088260869565218,4.186376811594203,0,0,1,1,8,14.287813242990882,10.990540058367635
26,DeepSeek-R1-Distill-Qwen-14B,11,69,734.0,698.0,10.115217391304348,14.543043478260866,6.923623188405796,0,0,2,2,8,16.70034198438823,13.078243060283942
29,Qwen3-8B-Non-Thinking,11,69,428.0,392.0,5.680579710144928,9.439565217391305,2.8982608695652172,0,0,1,1,8,10.871794565555092,9.010874726743225
28,seed-oss_1024,11,69,444.0,426.0,6.174927536231884,10.611014492753624,2.8982608695652172,0,0,1,1,8,13.868462465169364,17.05588540034466
31,Qwen3-32B-Non-Thinking,11,69,632.0,579.0,8.39072463768116,14.778985507246379,2.7372463768115938,0,0,0,0,8,17.08099163513913,17.34641505923237
32,Qwen3-30B-Non-Thinking,11,69,613.0,577.0,8.360869565217392,14.538115942028984,2.7372463768115938,0,0,0,0,8,16.200118164737987,13.624518723827999
33,Llama-3.3-70B-Instruct,11,69,579.0,543.0,7.87086956521739,14.172753623188406,4.186376811594203,0,0,0,0,8,14.110989585988404,14.662592461771602
34,Qwen3-14B-Non-Thinking,11,69,514.0,461.0,6.679420289855072,13.00463768115942,4.186376811594203,0,0,0,0,8,14.49092765302335,13.217543962356581
35,Mistral-Small-3.1-24B-2503,11,69,511.0,475.0,6.884202898550725,11.987101449275363,2.7372463768115938,0,0,0,0,8,12.73724009699779,9.503207076768646
36,Mistral-Large-Instruct-2411,11,69,469.0,461.0,6.6802898550724645,13.977971014492754,1.4491304347826086,0,0,0,0,8,13.150199777308744,10.977585095473694
37,seed-oss_0,11,69,460.0,426.0,6.173478260869565,11.38304347826087,2.7372463768115938,0,0,0,0,8,12.440633531836811,13.746187992590805
30,Qwen2.5-Coder-32B-Instruct,11,69,694.0,676.0,9.796231884057972,17.967101449275365,2.7372463768115938,0,0,0,0,8,16.70757915363885,11.932132625515736
38,Qwen2.5-72B,11,69,442.0,424.0,6.143043478260869,11.37,1.4491304347826086,0,0,0,0,8,12.811239220860386,13.141821042280306
39,Codestral-22B-v0.1,11,69,433.0,415.0,6.014927536231884,9.460724637681158,4.00536231884058,0,0,0,0,8,12.268055739299497,7.459099002457541
40,Llama-4-Scout,11,69,409.0,409.0,5.92695652173913,10.002898550724638,4.186376811594203,0,0,0,0,8,12.46760968743507,9.125739099595922
41,seed-oss_2048,11,69,384.0,348.0,5.0437681159420285,11.872753623188405,1.4491304347826086,0,0,0,0,8,12.654169993300451,15.94296053661777
42,Qwen3-4B-Non-Thinking,11,69,355.0,319.0,4.622463768115942,9.175652173913043,1.4491304347826086,0,0,0,0,8,12.073093399671905,8.76115083728679
44,DeepSeek-Coder-V2-Lite-Instruct,11,69,247.0,229.0,3.3171014492753623,8.364927536231884,1.2881159420289854,0,0,0,0,8,10.599472029957969,6.5777813524592235
43,seed-oss_512,11,69,264.0,256.0,3.71,8.59855072463768,1.4491304347826086,0,0,0,0,8,11.339998776729802,12.13960105634004
45,Llama-3.1-8B-Instruct,11,69,223.0,190.0,2.7534782608695654,4.909565217391305,1.4491304347826086,0,0,0,0,8,9.528754383741084,6.145310822884877
46,Qwen2.5-Coder-7B-Instruct,10,66,202.0,202.0,3.0604545454545455,6.093939393939395,1.515,0,0,0,0,7,8.285338493607753,5.3532859652619935
47,DeepSeek-R1-Distill-Llama-8B,11,69,130.0,130.0,1.883913043478261,2.3721739130434782,1.4491304347826086,0,0,0,0,8,9.410289548390452,6.0910144400158375
56,claude-haiku-4.5,1,6,107.0,107.0,17.83,37.72,0.0,0,0,0,0,1,31.35593220338983,31.35593220338983
57,OlympicCoder-32B,1,6,34.0,34.0,5.669999999999999,11.669999999999998,0.0,0,0,0,0,1,10.169491525423728,10.169491525423728
