Rank,Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Count,Avg Human Percentile,Avg Human Percentile (Competition)
1,gpt-5,13,68,3575.0,3575.0,52.574411764705886,67.30779411764705,38.97044117647058,4,5,0,9,9,76.44486282818035,73.68093238822543
2,gpt-oss-120b-high,13,68,3182.0,3182.0,46.79382352941176,60.31705882352942,37.25544117647059,3,4,2,9,9,66.88721104995219,69.46312882356902
3,grok-4-fast-reasoning,14,74,3024.0,3024.0,42.48648648648648,60.55783783783784,22.974189189189193,3,3,4,10,10,66.48153997173468,63.78509606930102
4,gpt-oss-120b_sp1,14,74,2480.0,2480.0,34.851351351351354,44.236486486486484,24.776486486486483,2,2,6,10,10,54.26908102859403,51.67533806089235
3,gemini-2.5-pro,13,68,2644.0,2644.0,38.88264705882352,57.99808823529411,15.687058823529409,1,3,5,9,9,63.91174200437745,55.844015422904945
5,gpt-oss-120b-medium,13,68,2395.0,2395.0,35.22073529411765,47.19294117647059,25.491176470588233,1,2,5,8,9,55.26731402206501,53.88580891305414
4,gpt-o3-mini-high,13,68,2300.0,2300.0,33.82367647058824,46.85397058823529,18.627058823529413,1,3,4,8,9,57.02107315110189,53.06524196416259
6,gpt-oss-20b-high,13,68,2151.0,2151.0,31.631911764705887,42.94191176470588,26.574705882352944,1,2,4,7,9,49.43659065279713,47.1830004513418
9,gpt-oss-120b_sp2,14,74,2506.0,2506.0,35.12243243243243,47.23986486486487,25.00013513513514,0,4,5,9,10,55.56048156114374,54.046778361184025
10,gpt-oss-120b_sp4,14,74,2330.0,2330.0,33.63337837837838,44.69783783783783,23.424054054054054,1,2,5,8,10,51.97016177020274,50.16197458808038
7,seed-oss_16384,13,68,2004.0,2004.0,29.470588235294116,43.41397058823529,15.441470588235292,1,1,5,7,9,49.714124238383334,45.73815869386981
12,gpt-oss-120b_sp3,14,74,2173.0,2173.0,31.513108108108106,45.16527027027027,22.072972972972973,0,4,4,8,10,50.47728068172101,47.86447455233776
8,gpt-oss-20b-medium,13,68,1901.0,1901.0,27.95544117647059,40.59161764705882,20.68647058823529,0,3,4,7,9,46.643111445901546,41.594318421880345
14,claude-sonnet-4.5,14,74,1814.0,1814.0,25.566081081081084,49.73148648648648,6.7572972972972964,0,2,6,8,10,41.08587827208202,36.69475994230007
