Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gpt-5,2867.0,9,8,1,88.88888888888889,95.66232899566232,Gold,1000.0,1000.0,867.0,1,USACO,2025,combined,USACO-2025-January_Contest-combined
grok-4-fast-reasoning,2534.0,9,7,1,77.77777777777779,84.55121788455122,Gold,667.0,1000.0,867.0,2,USACO,2025,combined,USACO-2025-January_Contest-combined
gpt-oss-120b-high,2406.0,9,7,2,77.77777777777779,80.28028028028028,Silver,1000.0,1000.0,406.0,2,USACO,2025,combined,USACO-2025-January_Contest-combined
gpt-oss-120b-medium,2384.0,9,7,1,77.77777777777779,79.5462128795462,Silver,1000.0,1000.0,384.0,3,USACO,2025,combined,USACO-2025-January_Contest-combined
gpt-oss-120b_sp2,2384.0,9,7,1,77.77777777777779,79.5462128795462,Silver,1000.0,1000.0,384.0,5,USACO,2025,combined,USACO-2025-January_Contest-combined
gpt-o3-mini-high,2134.0,9,6,2,66.66666666666666,71.20453787120454,Silver,1000.0,750.0,384.0,4,USACO,2025,combined,USACO-2025-January_Contest-combined
gemini-2.5-pro,2124.0,9,6,2,66.66666666666666,70.87087087087087,Silver,1000.0,723.0,401.0,5,USACO,2025,combined,USACO-2025-January_Contest-combined
gpt-oss-120b_sp4,2051.0,9,6,1,66.66666666666666,68.4351017684351,Bronze,1000.0,667.0,384.0,8,USACO,2025,combined,USACO-2025-January_Contest-combined
gpt-oss-120b_sp1,2051.0,9,6,1,66.66666666666666,68.4351017684351,Silver,1000.0,1000.0,51.0,9,USACO,2025,combined,USACO-2025-January_Contest-combined
gpt-oss-20b-medium,2051.0,9,6,1,66.66666666666666,68.4351017684351,Bronze,1000.0,667.0,384.0,6,USACO,2025,combined,USACO-2025-January_Contest-combined
gpt-oss-20b-high,2001.0,9,6,0,66.66666666666666,66.76676676676678,Bronze,1000.0,667.0,334.0,7,USACO,2025,combined,USACO-2025-January_Contest-combined
gemini-2.5-flash,1901.0,9,5,3,55.55555555555556,63.4300967634301,Bronze,1000.0,667.0,234.0,8,USACO,2025,combined,USACO-2025-January_Contest-combined
seed-oss_-1,1851.0,9,5,2,55.55555555555556,61.76176176176176,Bronze,1000.0,667.0,184.0,9,USACO,2025,combined,USACO-2025-January_Contest-combined
gpt-oss-120b_sp3,1740.0,9,5,2,55.55555555555556,58.05805805805806,Bronze,1000.0,667.0,73.0,14,USACO,2025,combined,USACO-2025-January_Contest-combined
gpt-oss-120b-low,1701.0,9,5,1,55.55555555555556,56.75675675675676,Bronze,1000.0,667.0,34.0,10,USACO,2025,combined,USACO-2025-January_Contest-combined
claude-sonnet-4.5,1618.0,9,3,6,33.33333333333333,53.987320653987325,Bronze,767.0,600.0,251.0,16,USACO,2025,combined,USACO-2025-January_Contest-combined
seed-oss_16384,1618.0,9,4,2,44.44444444444444,53.987320653987325,Bronze,900.0,667.0,51.0,11,USACO,2025,combined,USACO-2025-January_Contest-combined
deepseek-reasoner,1534.0,9,4,3,44.44444444444444,51.184517851184516,Bronze,700.0,667.0,167.0,12,USACO,2025,combined,USACO-2025-January_Contest-combined
OpenCodeReasoning-Nemotron-32B-IOI,1401.0,9,4,2,44.44444444444444,46.74674674674675,Bronze,700.0,667.0,34.0,19,USACO,2025,combined,USACO-2025-January_Contest-combined
QwQ-32B,1401.0,9,4,2,44.44444444444444,46.74674674674675,Bronze,700.0,667.0,34.0,13,USACO,2025,combined,USACO-2025-January_Contest-combined
seed-oss_8192,1301.0,9,3,3,33.33333333333333,43.41007674341007,Bronze,700.0,567.0,34.0,14,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen3-14B,1168.0,9,3,3,33.33333333333333,38.9723056389723,Bronze,700.0,434.0,34.0,15,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen3-32B,1134.0,9,3,4,33.33333333333333,37.83783783783784,Bronze,700.0,378.0,56.0,16,USACO,2025,combined,USACO-2025-January_Contest-combined
gpt-oss-20b-low,1035.0,9,3,1,33.33333333333333,34.53453453453454,None,667.0,334.0,34.0,17,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen3-8B,1002.0,9,3,0,33.33333333333333,33.433433433433436,None,334.0,667.0,1.0,18,USACO,2025,combined,USACO-2025-January_Contest-combined
gpt-4.1,785.0,9,1,5,11.11111111111111,26.19285952619286,None,334.0,367.0,84.0,19,USACO,2025,combined,USACO-2025-January_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,724.0,9,1,4,11.11111111111111,24.15749082415749,None,667.0,23.0,34.0,20,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen3-30B,524.0,9,1,4,11.11111111111111,17.48415081748415,None,367.0,123.0,34.0,21,USACO,2025,combined,USACO-2025-January_Contest-combined
seed-oss_4096,502.0,9,1,3,11.11111111111111,16.750083416750083,None,367.0,101.0,34.0,22,USACO,2025,combined,USACO-2025-January_Contest-combined
OlympicCoder-7B,469.0,9,1,2,11.11111111111111,15.648982315648983,None,367.0,101.0,1.0,30,USACO,2025,combined,USACO-2025-January_Contest-combined
DeepSeek-R1-Distill-Llama-70B,447.0,9,1,2,11.11111111111111,14.914914914914915,None,334.0,112.0,1.0,23,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen3-4B,337.0,9,0,2,0.0,11.244577911244578,None,268.0,68.0,1.0,24,USACO,2025,combined,USACO-2025-January_Contest-combined
DeepSeek-R1-Distill-Qwen-14B,336.0,9,1,0,11.11111111111111,11.21121121121121,None,334.0,1.0,1.0,25,USACO,2025,combined,USACO-2025-January_Contest-combined
Llama-3.3-70B-Instruct,275.0,9,0,5,0.0,9.175842509175842,None,234.0,40.0,1.0,26,USACO,2025,combined,USACO-2025-January_Contest-combined
deepseek-chat,269.0,9,0,4,0.0,8.975642308975642,None,134.0,101.0,34.0,27,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen2.5-72B,258.0,9,0,4,0.0,8.608608608608609,None,234.0,23.0,1.0,28,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen2.5-Coder-14B-Instruct,253.0,9,0,4,0.0,8.441775108441774,None,234.0,18.0,1.0,29,USACO,2025,combined,USACO-2025-January_Contest-combined
Llama-4-Scout,242.0,9,0,4,0.0,8.074741408074741,None,201.0,40.0,1.0,30,USACO,2025,combined,USACO-2025-January_Contest-combined
Mistral-Small-3.1-24B-2503,236.0,9,0,3,0.0,7.874541207874541,None,234.0,1.0,1.0,31,USACO,2025,combined,USACO-2025-January_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,220.0,9,0,3,0.0,7.340674007340674,None,201.0,18.0,1.0,32,USACO,2025,combined,USACO-2025-January_Contest-combined
Mistral-Large-Instruct-2411,197.0,9,0,4,0.0,6.5732399065732405,None,134.0,62.0,1.0,33,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen3-14B-Non-Thinking,180.0,9,0,3,0.0,6.006006006006006,None,134.0,45.0,1.0,34,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen3-30B-Non-Thinking,169.0,9,0,3,0.0,5.638972305638972,None,134.0,34.0,1.0,35,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen3-4B-Non-Thinking,169.0,9,0,3,0.0,5.638972305638972,None,134.0,34.0,1.0,36,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen2.5-Coder-7B-Instruct,153.0,9,0,3,0.0,5.105105105105105,None,134.0,18.0,1.0,37,USACO,2025,combined,USACO-2025-January_Contest-combined
seed-oss_2048,136.0,9,0,3,0.0,4.537871204537871,None,34.0,68.0,34.0,38,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen3-8B-Non-Thinking,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,45,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen2.5-Coder-32B-Instruct,136.0,9,0,2,0.0,4.537871204537871,None,134.0,1.0,1.0,39,USACO,2025,combined,USACO-2025-January_Contest-combined
Codestral-22B-v0.1,120.0,9,0,2,0.0,4.004004004004004,None,101.0,18.0,1.0,40,USACO,2025,combined,USACO-2025-January_Contest-combined
Qwen3-32B-Non-Thinking,103.0,9,0,1,0.0,3.4367701034367704,None,101.0,1.0,1.0,41,USACO,2025,combined,USACO-2025-January_Contest-combined
seed-oss_1024,69.0,9,0,2,0.0,2.3023023023023024,None,34.0,1.0,34.0,42,USACO,2025,combined,USACO-2025-January_Contest-combined
seed-oss_512,36.0,9,0,1,0.0,1.2012012012012012,None,34.0,1.0,1.0,43,USACO,2025,combined,USACO-2025-January_Contest-combined
seed-oss_0,36.0,9,0,1,0.0,1.2012012012012012,None,34.0,1.0,1.0,44,USACO,2025,combined,USACO-2025-January_Contest-combined
DeepSeek-R1-Distill-Llama-8B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,46,USACO,2025,combined,USACO-2025-January_Contest-combined
Llama-3.1-8B-Instruct,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,47,USACO,2025,combined,USACO-2025-January_Contest-combined
