Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Platinum Score,Rank,Competition,Year,Round,Contest_Key
gpt-5,999.0,3,3,0,100.0,100.0,Gold,999.0,1,USACO,2023,platinum,USACO-2023-February_Contest-platinum
gpt-oss-120b-high,893.0,3,2,1,66.66666666666666,89.38938938938938,Gold,893.0,2,USACO,2023,platinum,USACO-2023-February_Contest-platinum
gpt-oss-120b-medium,783.0,3,2,1,66.66666666666666,78.37837837837837,Gold,783.0,3,USACO,2023,platinum,USACO-2023-February_Contest-platinum
gpt-oss-120b_sp1,444.0,3,1,2,33.33333333333333,44.44444444444444,Silver,444.0,4,USACO,2023,platinum,USACO-2023-February_Contest-platinum
deepseek-reasoner,444.0,3,1,2,33.33333333333333,44.44444444444444,Silver,444.0,4,USACO,2023,platinum,USACO-2023-February_Contest-platinum
claude-sonnet-4.5,429.0,3,0,3,0.0,42.94294294294294,Silver,429.0,6,USACO,2023,platinum,USACO-2023-February_Contest-platinum
gpt-o3-mini-high,411.0,3,1,2,33.33333333333333,41.14114114114114,Silver,411.0,5,USACO,2023,platinum,USACO-2023-February_Contest-platinum
gpt-oss-120b_sp3,411.0,3,1,2,33.33333333333333,41.14114114114114,Silver,411.0,8,USACO,2023,platinum,USACO-2023-February_Contest-platinum
gpt-oss-20b-medium,411.0,3,1,2,33.33333333333333,41.14114114114114,Silver,411.0,6,USACO,2023,platinum,USACO-2023-February_Contest-platinum
gpt-oss-120b_sp2,400.0,3,1,1,33.33333333333333,40.04004004004004,Silver,400.0,10,USACO,2023,platinum,USACO-2023-February_Contest-platinum
seed-oss_8192,383.0,3,1,1,33.33333333333333,38.33833833833834,Silver,383.0,7,USACO,2023,platinum,USACO-2023-February_Contest-platinum
seed-oss_-1,366.0,3,1,1,33.33333333333333,36.63663663663664,Silver,366.0,8,USACO,2023,platinum,USACO-2023-February_Contest-platinum
grok-4-fast-reasoning,365.0,3,1,2,33.33333333333333,36.53653653653654,Silver,365.0,13,USACO,2023,platinum,USACO-2023-February_Contest-platinum
gpt-oss-120b_sp4,350.0,3,1,1,33.33333333333333,35.03503503503504,None,350.0,14,USACO,2023,platinum,USACO-2023-February_Contest-platinum
gpt-oss-20b-high,350.0,3,1,1,33.33333333333333,35.03503503503504,None,350.0,9,USACO,2023,platinum,USACO-2023-February_Contest-platinum
gpt-oss-120b-low,333.0,3,1,0,33.33333333333333,33.33333333333333,Bronze,333.0,10,USACO,2023,platinum,USACO-2023-February_Contest-platinum
Qwen3-32B,262.0,3,0,3,0.0,26.226226226226224,Bronze,262.0,11,USACO,2023,platinum,USACO-2023-February_Contest-platinum
gemini-2.5-flash,186.0,3,0,3,0.0,18.61861861861862,None,186.0,14,USACO,2023,platinum,USACO-2023-February_Contest-platinum
Qwen3-8B,217.0,3,0,2,0.0,21.72172172172172,None,217.0,12,USACO,2023,platinum,USACO-2023-February_Contest-platinum
Qwen3-30B,200.0,3,0,1,0.0,20.02002002002002,None,200.0,13,USACO,2023,platinum,USACO-2023-February_Contest-platinum
