Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gpt-5,3000.0,9,9,0,100.0,100.10010010010011,Gold,1000.0,1000.0,1000.0,1,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gpt-oss-120b-high,2667.0,9,8,0,88.88888888888889,88.988988988989,Gold,1000.0,667.0,1000.0,2,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gpt-o3-mini-high,2472.0,9,6,3,66.66666666666666,82.48248248248248,Gold,834.0,700.0,938.0,3,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gpt-oss-20b-high,2305.0,9,6,2,66.66666666666666,76.91024357691025,Silver,1000.0,700.0,605.0,4,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gpt-oss-120b_sp3,2162.0,9,4,4,44.44444444444444,72.1388054721388,Gold,667.0,773.0,722.0,5,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gpt-oss-120b-medium,2122.0,9,5,3,55.55555555555556,70.80413747080414,Gold,667.0,750.0,705.0,5,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gpt-oss-120b_sp1,2074.0,9,4,4,44.44444444444444,69.20253586920253,Silver,667.0,917.0,490.0,7,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gpt-oss-120b_sp4,2072.0,9,5,3,55.55555555555556,69.1358024691358,Gold,667.0,700.0,705.0,8,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gemini-2.5-pro,2039.0,9,5,2,55.55555555555556,68.0347013680347,Gold,667.0,667.0,705.0,6,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
grok-4-fast-reasoning,1806.0,9,4,2,44.44444444444444,60.26026026026025,Gold,334.0,667.0,805.0,10,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
seed-oss_-1,1801.0,9,5,2,55.55555555555556,60.09342676009343,Gold,667.0,367.0,767.0,7,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gpt-oss-120b_sp2,1772.0,9,4,3,44.44444444444444,59.12579245912579,Gold,667.0,367.0,738.0,12,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gemini-2.5-flash,1749.0,9,4,4,44.44444444444444,58.35835835835835,Bronze,1000.0,178.0,571.0,8,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gpt-oss-20b-medium,1551.0,9,4,3,44.44444444444444,51.751751751751755,Bronze,667.0,450.0,434.0,9,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
seed-oss_16384,1495.0,9,3,4,33.33333333333333,49.88321654988322,Gold,667.0,123.0,705.0,10,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-32B,1490.0,9,3,4,33.33333333333333,49.716383049716384,Bronze,667.0,201.0,622.0,11,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
deepseek-reasoner,1152.0,9,2,5,22.22222222222222,38.43843843843844,None,515.0,78.0,559.0,12,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
QwQ-32B,1127.0,9,1,6,11.11111111111111,37.60427093760427,None,570.0,234.0,323.0,13,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
seed-oss_8192,1082.0,9,2,5,22.22222222222222,36.10276943610277,None,487.0,78.0,517.0,14,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-30B,1063.0,9,2,5,22.22222222222222,35.4688021354688,None,403.0,101.0,559.0,15,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-14B,1046.0,9,2,4,22.22222222222222,34.90156823490157,None,445.0,167.0,434.0,16,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gpt-oss-120b-low,956.0,9,1,6,11.11111111111111,31.89856523189857,None,487.0,250.0,219.0,17,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
Qwen3-8B,907.0,9,1,6,11.11111111111111,30.2635969302636,None,417.0,167.0,323.0,18,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gpt-4.1,794.0,9,1,7,11.11111111111111,26.493159826493162,None,395.0,101.0,298.0,21,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
gpt-oss-20b-low,818.0,9,1,6,11.11111111111111,27.293960627293963,None,417.0,78.0,323.0,19,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,807.0,9,1,5,11.11111111111111,26.926926926926924,None,417.0,167.0,223.0,20,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
claude-sonnet-4.5,805.0,9,0,7,0.0,26.860193526860193,None,432.0,112.0,261.0,27,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
OpenCodeReasoning-Nemotron-32B-IOI,737.0,9,1,4,11.11111111111111,24.591257924591257,None,431.0,101.0,205.0,28,USACO,2024,combined,USACO-2024-US_Open_Contest-combined
