Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gpt-5,2726.0,9,8,1,88.88888888888889,90.95762429095763,Gold,1000.0,726.0,1000.0,1,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gpt-oss-120b-high,2667.0,9,8,0,88.88888888888889,88.988988988989,Gold,1000.0,667.0,1000.0,2,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gpt-oss-20b-high,2334.0,9,7,0,77.77777777777779,77.87787787787788,Bronze,1000.0,667.0,667.0,3,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gpt-oss-120b_sp3,2334.0,9,7,0,77.77777777777779,77.87787787787788,Bronze,1000.0,667.0,667.0,4,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gpt-o3-mini-high,2260.0,9,6,2,66.66666666666666,75.40874207540874,Bronze,1000.0,567.0,693.0,4,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gpt-oss-120b_sp2,2177.0,9,6,1,66.66666666666666,72.6393059726393,Bronze,1000.0,667.0,510.0,6,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gpt-oss-120b-medium,2177.0,9,6,1,66.66666666666666,72.6393059726393,Bronze,1000.0,667.0,510.0,5,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gpt-oss-120b_sp1,2138.0,9,6,1,66.66666666666666,71.33800467133801,Bronze,1000.0,667.0,471.0,8,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gemini-2.5-pro,2060.0,9,6,1,66.66666666666666,68.73540206873541,Bronze,1000.0,667.0,393.0,6,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
grok-4-fast-reasoning,2001.0,9,6,0,66.66666666666666,66.76676676676678,Gold,334.0,667.0,1000.0,10,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gemini-2.5-flash,1998.0,9,5,3,55.55555555555556,66.66666666666666,Bronze,1000.0,667.0,331.0,7,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gpt-oss-120b_sp4,1911.0,9,5,2,55.55555555555556,63.76376376376376,Bronze,1000.0,401.0,510.0,12,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
deepseek-reasoner,1843.0,9,5,1,55.55555555555556,61.49482816149483,Bronze,1000.0,667.0,176.0,8,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
seed-oss_-1,1833.0,9,5,2,55.55555555555556,61.16116116116116,Bronze,1000.0,401.0,432.0,9,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
claude-sonnet-4.5,1832.0,9,4,4,44.44444444444444,61.12779446112779,Bronze,834.0,667.0,331.0,15,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
seed-oss_16384,1794.0,9,4,3,44.44444444444444,59.85985985985987,Bronze,934.0,467.0,393.0,10,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gpt-oss-20b-medium,1701.0,9,5,1,55.55555555555556,56.75675675675676,Bronze,1000.0,367.0,334.0,11,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
QwQ-32B,1656.0,9,4,2,44.44444444444444,55.25525525525525,Bronze,1000.0,401.0,255.0,12,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-32B,1628.0,9,4,3,44.44444444444444,54.32098765432099,Bronze,834.0,401.0,393.0,13,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-30B,1628.0,9,4,3,44.44444444444444,54.32098765432099,Bronze,834.0,401.0,393.0,14,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
OpenCodeReasoning-Nemotron-32B-IOI,1592.0,9,4,2,44.44444444444444,53.11978645311979,Bronze,1000.0,401.0,191.0,21,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gpt-oss-20b-low,1450.0,9,4,2,44.44444444444444,48.381715048381714,Bronze,1000.0,401.0,49.0,15,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-14B,1390.0,9,3,4,33.33333333333333,46.37971304637971,Bronze,834.0,401.0,155.0,16,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
gpt-oss-120b-low,1364.0,9,3,3,33.33333333333333,45.51217884551218,Bronze,834.0,434.0,96.0,17,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
seed-oss_8192,1269.0,9,3,1,33.33333333333333,42.34234234234234,None,667.0,268.0,334.0,18,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,1175.0,9,3,3,33.33333333333333,39.20587253920587,Bronze,734.0,401.0,40.0,19,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
OlympicCoder-7B,970.0,9,2,4,22.22222222222222,32.3656990323657,Bronze,800.0,130.0,40.0,27,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
Qwen3-4B,931.0,9,2,3,22.22222222222222,31.064397731064396,Bronze,800.0,130.0,1.0,20,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
seed-oss_4096,803.0,9,2,2,22.22222222222222,26.793460126793462,Bronze,734.0,68.0,1.0,21,USACO,2025,combined,USACO-2025-US_Open_Contest-combined
