Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Platinum Score,Rank,Competition,Year,Round,Contest_Key
gpt-oss-120b-high,666.0,3,2,0,66.66666666666666,66.66666666666666,Silver,666.0,1,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gpt-5,666.0,3,2,0,66.66666666666666,66.66666666666666,Silver,666.0,2,USACO,2025,platinum,USACO-2025-February_Contest-platinum
seed-oss_-1,142.0,3,0,2,0.0,14.214214214214213,None,142.0,3,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gemini-2.5-pro,142.0,3,0,2,0.0,14.214214214214213,None,142.0,4,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gpt-oss-120b_sp2,142.0,3,0,2,0.0,14.214214214214213,None,142.0,5,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gpt-oss-120b_sp4,142.0,3,0,2,0.0,14.214214214214213,None,142.0,6,USACO,2025,platinum,USACO-2025-February_Contest-platinum
grok-4-fast-reasoning,105.0,3,0,1,0.0,10.51051051051051,None,105.0,7,USACO,2025,platinum,USACO-2025-February_Contest-platinum
claude-sonnet-4.5,105.0,3,0,1,0.0,10.51051051051051,None,105.0,8,USACO,2025,platinum,USACO-2025-February_Contest-platinum
seed-oss_16384,105.0,3,0,1,0.0,10.51051051051051,None,105.0,5,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gpt-oss-120b_sp3,90.0,3,0,2,0.0,9.00900900900901,None,90.0,10,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gpt-oss-120b-low,86.0,3,0,2,0.0,8.608608608608609,None,86.0,6,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gpt-o3-mini-high,53.0,3,0,1,0.0,5.305305305305305,None,53.0,7,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gpt-oss-120b-medium,37.0,3,0,1,0.0,3.7037037037037033,None,37.0,8,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gpt-oss-120b_sp1,37.0,3,0,1,0.0,3.7037037037037033,None,37.0,14,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gpt-4.1,19.0,3,0,1,0.0,1.9019019019019021,None,19.0,10,USACO,2025,platinum,USACO-2025-February_Contest-platinum
Qwen3-32B,19.0,3,0,1,0.0,1.9019019019019021,None,19.0,9,USACO,2025,platinum,USACO-2025-February_Contest-platinum
deepseek-chat,19.0,3,0,1,0.0,1.9019019019019021,None,19.0,11,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gpt-oss-20b-medium,0.0,3,0,0,0.0,0.0,None,0.0,13,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gpt-oss-20b-high,0.0,3,0,0,0.0,0.0,None,0.0,14,USACO,2025,platinum,USACO-2025-February_Contest-platinum
DeepSeek-R1-Distill-Llama-70B,0.0,3,0,0,0.0,0.0,None,0.0,30,USACO,2025,platinum,USACO-2025-February_Contest-platinum
seed-oss_8192,0.0,3,0,0,0.0,0.0,None,0.0,12,USACO,2025,platinum,USACO-2025-February_Contest-platinum
OpenCodeReasoning-Nemotron-32B-IOI,0.0,3,0,0,0.0,0.0,None,0.0,22,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gemini-2.5-flash,0.0,3,0,0,0.0,0.0,None,0.0,15,USACO,2025,platinum,USACO-2025-February_Contest-platinum
deepseek-reasoner,0.0,3,0,0,0.0,0.0,None,0.0,17,USACO,2025,platinum,USACO-2025-February_Contest-platinum
gpt-oss-20b-low,0.0,3,0,0,0.0,0.0,None,0.0,16,USACO,2025,platinum,USACO-2025-February_Contest-platinum
seed-oss_4096,0.0,3,0,0,0.0,0.0,None,0.0,19,USACO,2025,platinum,USACO-2025-February_Contest-platinum
OlympicCoder-7B,0.0,3,0,0,0.0,0.0,None,0.0,27,USACO,2025,platinum,USACO-2025-February_Contest-platinum
Qwen3-4B,0.0,3,0,0,0.0,0.0,None,0.0,18,USACO,2025,platinum,USACO-2025-February_Contest-platinum
Qwen3-8B,0.0,3,0,0,0.0,0.0,None,0.0,20,USACO,2025,platinum,USACO-2025-February_Contest-platinum
Qwen3-30B,0.0,3,0,0,0.0,0.0,None,0.0,21,USACO,2025,platinum,USACO-2025-February_Contest-platinum
QwQ-32B,0.0,3,0,0,0.0,0.0,None,0.0,22,USACO,2025,platinum,USACO-2025-February_Contest-platinum
Qwen3-14B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,41,USACO,2025,platinum,USACO-2025-February_Contest-platinum
DeepSeek-R1-Distill-Qwen-32B,0.0,3,0,0,0.0,0.0,None,0.0,23,USACO,2025,platinum,USACO-2025-February_Contest-platinum
DeepSeek-R1-Distill-Llama-8B,0.0,3,0,0,0.0,0.0,None,0.0,43,USACO,2025,platinum,USACO-2025-February_Contest-platinum
Qwen3-30B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,28,USACO,2025,platinum,USACO-2025-February_Contest-platinum
Qwen3-32B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,25,USACO,2025,platinum,USACO-2025-February_Contest-platinum
Llama-4-Scout,0.0,3,0,0,0.0,0.0,None,0.0,24,USACO,2025,platinum,USACO-2025-February_Contest-platinum
Qwen3-8B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,39,USACO,2025,platinum,USACO-2025-February_Contest-platinum
seed-oss_1024,0.0,3,0,0,0.0,0.0,None,0.0,26,USACO,2025,platinum,USACO-2025-February_Contest-platinum
seed-oss_512,0.0,3,0,0,0.0,0.0,None,0.0,27,USACO,2025,platinum,USACO-2025-February_Contest-platinum
Qwen2.5-Coder-14B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,35,USACO,2025,platinum,USACO-2025-February_Contest-platinum
Qwen3-14B,0.0,3,0,0,0.0,0.0,None,0.0,29,USACO,2025,platinum,USACO-2025-February_Contest-platinum
Llama-3.1-8B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,37,USACO,2025,platinum,USACO-2025-February_Contest-platinum
seed-oss_0,0.0,3,0,0,0.0,0.0,None,0.0,31,USACO,2025,platinum,USACO-2025-February_Contest-platinum
Codestral-22B-v0.1,0.0,3,0,0,0.0,0.0,None,0.0,42,USACO,2025,platinum,USACO-2025-February_Contest-platinum
seed-oss_2048,0.0,3,0,0,0.0,0.0,None,0.0,32,USACO,2025,platinum,USACO-2025-February_Contest-platinum
