Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gpt-oss-120b-high,3000.0,9,9,0,100.0,100.10010010010011,Gold,1000.0,1000.0,1000.0,1,USACO,2024,combined,USACO-2024-January_Contest-combined
gpt-5,2834.0,9,8,1,88.88888888888889,94.56122789456123,Gold,1000.0,834.0,1000.0,2,USACO,2024,combined,USACO-2024-January_Contest-combined
grok-4-fast-reasoning,2809.0,9,7,2,77.77777777777779,93.72706039372706,Gold,975.0,834.0,1000.0,3,USACO,2024,combined,USACO-2024-January_Contest-combined
gpt-oss-120b_sp4,2667.0,9,8,0,88.88888888888889,88.988988988989,Silver,1000.0,1000.0,667.0,4,USACO,2024,combined,USACO-2024-January_Contest-combined
gpt-oss-20b-high,2501.0,9,7,1,77.77777777777779,83.45011678345011,Silver,1000.0,834.0,667.0,3,USACO,2024,combined,USACO-2024-January_Contest-combined
gemini-2.5-pro,2341.0,9,6,2,66.66666666666666,78.11144477811145,Bronze,1000.0,667.0,674.0,4,USACO,2024,combined,USACO-2024-January_Contest-combined
gpt-oss-120b_sp1,2341.0,9,6,2,66.66666666666666,78.11144477811145,Bronze,1000.0,667.0,674.0,7,USACO,2024,combined,USACO-2024-January_Contest-combined
gpt-oss-20b-medium,2274.0,9,6,2,66.66666666666666,75.87587587587588,Silver,1000.0,800.0,474.0,5,USACO,2024,combined,USACO-2024-January_Contest-combined
gpt-oss-120b_sp2,2249.0,9,6,2,66.66666666666666,75.04170837504171,Bronze,1000.0,667.0,582.0,9,USACO,2024,combined,USACO-2024-January_Contest-combined
gpt-oss-120b_sp3,2160.0,9,6,2,66.66666666666666,72.07207207207207,Bronze,1000.0,667.0,493.0,10,USACO,2024,combined,USACO-2024-January_Contest-combined
gpt-o3-mini-high,2123.0,9,5,3,55.55555555555556,70.8375041708375,Silver,1000.0,834.0,289.0,6,USACO,2024,combined,USACO-2024-January_Contest-combined
gpt-oss-120b-medium,2027.0,9,5,4,55.55555555555556,67.6343009676343,Silver,1000.0,834.0,193.0,7,USACO,2024,combined,USACO-2024-January_Contest-combined
gemini-2.5-flash,2008.0,9,5,2,55.55555555555556,67.00033366700033,Bronze,1000.0,667.0,341.0,8,USACO,2024,combined,USACO-2024-January_Contest-combined
seed-oss_-1,1845.0,9,5,2,55.55555555555556,61.56156156156156,Bronze,1000.0,667.0,178.0,9,USACO,2024,combined,USACO-2024-January_Contest-combined
claude-sonnet-4.5,1771.0,9,3,6,33.33333333333333,59.09242575909243,None,738.0,544.0,489.0,15,USACO,2024,combined,USACO-2024-January_Contest-combined
deepseek-reasoner,1697.0,9,4,2,44.44444444444444,56.62328995662329,Bronze,1000.0,556.0,141.0,10,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen3-30B,1669.0,9,4,2,44.44444444444444,55.68902235568902,Bronze,1000.0,528.0,141.0,11,USACO,2024,combined,USACO-2024-January_Contest-combined
OpenCodeReasoning-Nemotron-32B-IOI,1669.0,9,4,2,44.44444444444444,55.68902235568902,Bronze,1000.0,528.0,141.0,18,USACO,2024,combined,USACO-2024-January_Contest-combined
seed-oss_8192,1570.0,9,4,2,44.44444444444444,52.38571905238572,Bronze,1000.0,429.0,141.0,12,USACO,2024,combined,USACO-2024-January_Contest-combined
Qwen3-14B,1545.0,9,3,4,33.33333333333333,51.551551551551555,Bronze,1000.0,385.0,160.0,13,USACO,2024,combined,USACO-2024-January_Contest-combined
