Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Platinum Score,Rank,Competition,Year,Round,Contest_Key
gpt-5,766.0,3,2,1,66.66666666666666,76.67667667667668,Gold,766.0,1,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gpt-oss-120b-high,0.0,3,0,0,0.0,0.0,None,0.0,48,USACO,2023,platinum,USACO-2023-January_Contest-platinum
grok-4-fast-reasoning,394.0,3,1,2,33.33333333333333,39.43943943943944,Silver,394.0,3,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gpt-oss-120b_sp4,377.0,3,1,1,33.33333333333333,37.73773773773774,Silver,377.0,4,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gpt-oss-120b_sp3,364.0,3,0,3,0.0,36.43643643643644,Silver,364.0,5,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gpt-oss-120b_sp1,350.0,3,1,1,33.33333333333333,35.03503503503504,None,350.0,6,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gpt-oss-20b-high,333.0,3,1,0,33.33333333333333,33.33333333333333,Bronze,333.0,3,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gpt-oss-120b-medium,333.0,3,1,0,33.33333333333333,33.33333333333333,Bronze,333.0,2,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gpt-oss-120b_sp2,333.0,3,1,0,33.33333333333333,33.33333333333333,Bronze,333.0,9,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gemini-2.5-pro,239.0,3,0,2,0.0,23.923923923923923,None,239.0,4,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gpt-o3-mini-high,153.0,3,0,2,0.0,15.315315315315313,None,153.0,5,USACO,2023,platinum,USACO-2023-January_Contest-platinum
claude-sonnet-4.5,107.0,3,0,3,0.0,10.71071071071071,None,107.0,12,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gemini-2.5-flash,77.0,3,0,2,0.0,7.707707707707708,None,77.0,6,USACO,2023,platinum,USACO-2023-January_Contest-platinum
seed-oss_-1,61.0,3,0,2,0.0,6.106106106106106,None,61.0,7,USACO,2023,platinum,USACO-2023-January_Contest-platinum
DeepSeek-R1-Distill-Llama-70B,44.0,3,0,1,0.0,4.404404404404405,None,44.0,8,USACO,2023,platinum,USACO-2023-January_Contest-platinum
seed-oss_8192,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,13,USACO,2023,platinum,USACO-2023-January_Contest-platinum
Llama-3.3-70B-Instruct,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,14,USACO,2023,platinum,USACO-2023-January_Contest-platinum
seed-oss_512,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,12,USACO,2023,platinum,USACO-2023-January_Contest-platinum
seed-oss_0,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,11,USACO,2023,platinum,USACO-2023-January_Contest-platinum
DeepSeek-Coder-V2-Lite-Instruct,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,10,USACO,2023,platinum,USACO-2023-January_Contest-platinum
seed-oss_1024,17.0,3,0,1,0.0,1.7017017017017018,None,17.0,9,USACO,2023,platinum,USACO-2023-January_Contest-platinum
deepseek-reasoner,0.0,3,0,0,0.0,0.0,None,0.0,23,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gpt-oss-20b-medium,0.0,3,0,0,0.0,0.0,None,0.0,16,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gpt-oss-20b-low,0.0,3,0,0,0.0,0.0,None,0.0,15,USACO,2023,platinum,USACO-2023-January_Contest-platinum
Qwen3-14B,0.0,3,0,0,0.0,0.0,None,0.0,32,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gpt-4.1,0.0,3,0,0,0.0,0.0,None,0.0,18,USACO,2023,platinum,USACO-2023-January_Contest-platinum
gpt-oss-120b-low,0.0,3,0,0,0.0,0.0,None,0.0,19,USACO,2023,platinum,USACO-2023-January_Contest-platinum
Qwen3-32B,0.0,3,0,0,0.0,0.0,None,0.0,20,USACO,2023,platinum,USACO-2023-January_Contest-platinum
deepseek-chat,0.0,3,0,0,0.0,0.0,None,0.0,17,USACO,2023,platinum,USACO-2023-January_Contest-platinum
QwQ-32B,0.0,3,0,0,0.0,0.0,None,0.0,21,USACO,2023,platinum,USACO-2023-January_Contest-platinum
seed-oss_16384,0.0,3,0,0,0.0,0.0,None,0.0,22,USACO,2023,platinum,USACO-2023-January_Contest-platinum
Qwen3-30B,0.0,3,0,0,0.0,0.0,None,0.0,31,USACO,2023,platinum,USACO-2023-January_Contest-platinum
Qwen3-4B,0.0,3,0,0,0.0,0.0,None,0.0,46,USACO,2023,platinum,USACO-2023-January_Contest-platinum
Qwen3-30B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,28,USACO,2023,platinum,USACO-2023-January_Contest-platinum
OlympicCoder-7B,0.0,3,0,0,0.0,0.0,None,0.0,35,USACO,2023,platinum,USACO-2023-January_Contest-platinum
seed-oss_4096,0.0,3,0,0,0.0,0.0,None,0.0,25,USACO,2023,platinum,USACO-2023-January_Contest-platinum
DeepSeek-R1-Distill-Qwen-32B,0.0,3,0,0,0.0,0.0,None,0.0,24,USACO,2023,platinum,USACO-2023-January_Contest-platinum
Qwen3-8B,0.0,3,0,0,0.0,0.0,None,0.0,27,USACO,2023,platinum,USACO-2023-January_Contest-platinum
Llama-4-Scout,0.0,3,0,0,0.0,0.0,None,0.0,26,USACO,2023,platinum,USACO-2023-January_Contest-platinum
OpenCodeReasoning-Nemotron-32B-IOI,0.0,3,0,0,0.0,0.0,None,0.0,40,USACO,2023,platinum,USACO-2023-January_Contest-platinum
Qwen3-32B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,43,USACO,2023,platinum,USACO-2023-January_Contest-platinum
seed-oss_2048,0.0,3,0,0,0.0,0.0,None,0.0,29,USACO,2023,platinum,USACO-2023-January_Contest-platinum
DeepSeek-R1-Distill-Qwen-14B,0.0,3,0,0,0.0,0.0,None,0.0,30,USACO,2023,platinum,USACO-2023-January_Contest-platinum
Qwen3-14B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,42,USACO,2023,platinum,USACO-2023-January_Contest-platinum
Mistral-Large-Instruct-2411,0.0,3,0,0,0.0,0.0,None,0.0,33,USACO,2023,platinum,USACO-2023-January_Contest-platinum
Qwen3-8B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,44,USACO,2023,platinum,USACO-2023-January_Contest-platinum
Qwen3-4B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,36,USACO,2023,platinum,USACO-2023-January_Contest-platinum
